QUEST_LV_0500_20190513_000001	如果必須有人去做這件事，我希望是別人。{nl}為什麼偏偏要讓我做這種事呢？	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20200902_000238	格萊伊希歐卡希米拉。{nl}這是格萊伊希歐還是人類時的名字。	글레이시어 카시밀라.{nl}글레이시어가 인간이었을 때의 이름입니다.				크루세이더 마스터
QUEST_LV_0500_20200902_000239	你來了啊。{nl}事情我已經聽說了。	오셨군요.{nl}이야기는 미리 들었습니다.				랑다 마스터
QUEST_LV_0500_20200902_000240	很強大的氣息啊。{nl}如果沒有東征十字軍大師的處理，你在來這裡的途中暈倒也不會覺得奇怪。	강한 기운이군요.{nl}크루세이더 마스터님의 조치가 없었더라면, 이곳에 오는 중에 쓰러지셨어도 이상하지 않았을 겁니다.				랑다 마스터
QUEST_LV_0500_20200902_000241	這力量的主人，用這片土地的稱呼，是名叫觀看者的存在。{nl}後續的故事，如果以後有機會的話再告訴你。{nl}這塊碎片就由我們來管理好了。{nl}你能幫我交給旁邊的少女嗎？	이 힘의 주인은 이 땅의 명칭으로 주시자라는 이름의 존재군요.{nl}이 이상의 이야기는 나중에 기회가 된다면 말씀드리죠.{nl}이 조각은 저희가 관리하겠습니다.{nl}저 옆의 소녀에게 주시겠습니까?				랑다 마스터
QUEST_LV_0500_20200902_000242	冉達少女	랑다 소녀				
QUEST_LV_0500_20200902_000243	她年紀還小，對待她時麻煩注意一點。	어린 아이이니 조심히 대해주세요.				랑다 마스터
QUEST_LV_0500_20200902_000244	請勿被捲進次元崩壞和分裂特別傳點裡而喪失性命。{nl}尤其是在分裂特別傳點中要小心地行動，這是一個非常危險的地方。	차원 붕괴와 분열 특이점에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}특히 분열 특이점에서는 행동을 주의하세요. 무척 위험한 장소입니다.	QUEST_LV_0500_20200324_000084	請勿被捲進次元崩壞裡而喪失性命。{nl}如尚未準備妥當，請勿前往靠近。	차원 붕괴에 휘말려 아까운 목숨을 잃지 않도록 주의하세요.{nl}준비가 충분하지 않으면 가까이 가지 않는 게 좋습니다.	세이지 파견원
QUEST_LV_0500_20200902_000245	沒做好足夠準備的話，最好是不要去靠近那個地方。請做好萬全準備之後再去靠近。	준비가 충분하지 않으면 가까이 가지 않는 게 좋습니다. 철저한 준비를 하시고 접근하시기 바랍니다. 				세이지 파견원
QUEST_LV_0500_20200902_000246	白魔女和東征十字軍(8)	하얀 마녀와 크루세이더(8)				
QUEST_LV_0500_20200902_000247	協助調查。	조사에 협조한다.				
QUEST_LV_0500_20200902_000248	不想協助調查。	협조하고 싶지 않다.				
QUEST_LV_0500_20200902_000249	白魔女和東征十字軍(9)	하얀 마녀와 크루세이더(9)				
QUEST_LV_0500_20200902_000250	我會做好準備的。	준비해 두겠다고 한다.				
QUEST_LV_0500_20200902_000251	我想要之後再去。	나중에 가자고 한다.				
QUEST_LV_0500_20200902_000252	白魔女和東征十字軍(10)	하얀 마녀와 크루세이더(10)				
QUEST_LV_0500_20200902_000253	現在有點困難。	지금은 어렵다고 한다.				
QUEST_LV_0500_20200902_000254	白魔女和東征十字軍(11)	하얀 마녀와 크루세이더(11)				
QUEST_LV_0500_20200902_000255	我會幫你轉達的。	전해주겠다고 말한다.				
QUEST_LV_0500_20200902_000256	我無法幫助你。	도울수 없다고 한다.				
QUEST_LV_0500_20200902_000257	白魔女和東征十字軍(12)	하얀 마녀와 크루세이더(12)				
QUEST_LV_0500_20200902_000258	我不想再參與這件事了。	더 이상 관여하고 싶지 않다고 한다.				
QUEST_LV_0500_20200902_000259	尋訪東征十字軍大師。	크루세이더 마스터를 찾아가기.				
QUEST_LV_0500_20200902_000260	東征十字軍大師好像有話要對你說。{nl}請去找她問看看是什麼事情。	크루세이더 마스터가 당신에게 할 말이 있는 듯 합니다.{nl}그녀를 찾아가 무슨 일인지 물어보세요.				
QUEST_LV_0500_20200902_000261	對怪物使用格萊伊希歐的隨身物品。	글레이시어의 소지품을 몬스터에게 사용하기.				
QUEST_LV_0500_20200902_000262	按照東征十字軍大師的要求，將格萊伊希歐的隨身物品拿去給怪物們看看。	크루세이더 마스터의 요청대로, 글레시이어의 소지품을 몬스터들에게 보여주세요.				
QUEST_LV_0500_20200902_000263	向東征十字軍大師報告調查結果。	조사 결과를 크루세이더 마스터에게 보고하기.				
QUEST_LV_0500_20200902_000264	將格萊伊希歐的隨身物品給怪物看過之後，怪物們就驚慌失措地跑掉了！{nl}請向東征十字軍大師報告調查結果。	글레시이서의 소지품을 몬스터에게 보여주니, 몬스터들은 허겁지겁 달아났습니다!{nl}조사 결과를 크루세이더 마스터에게 알려주세요.				
QUEST_LV_0500_20200902_000265	東征十字軍大師為了接下來的調查，想要尋求協助。{nl}請與東征十字軍大師對話。	크루세이더 마스터가 다음 조사를 위해 협조를 요청하려고 합니다.{nl}크루세이더 마스터와 대화하세요.				
QUEST_LV_0500_20200902_000266	準備調查可疑的碎片。	수상한 조각 조사 준비하기.				
QUEST_LV_0500_20200902_000267	東征十字軍大師從派遣員手中取得了可疑的碎片的相關報告，該碎片推測是由格萊伊西歐所掉落。{nl}請前往有可疑的碎片的地方事先做好準備，以便東征十字軍大師進行調查。	크루세이더 마스터는 파견원으로부터 글레이시어가 흘린 것으로 추정되는 수상한 조각에 대한 보고를 받았습니다.{nl}수상한 조각이 있는 곳으로 가서 크루세이더 마스터가 조사할 수 있도록 미리 준비를 해두세요.				
QUEST_LV_0500_20200902_000268	回去找東征十字軍。	크루세이더 마스터에게 돌아가기.				
QUEST_LV_0500_20200902_000269	東征十字軍大師拿走了可疑的碎片。{nl}請回去找她聽關於調查的結果。	크루세이더 마스터가 수상한 조각을 가져갔습니다.{nl}그녀에게 돌아가 조사 결과에 대해 들어보세요.				
QUEST_LV_0500_20200902_000270	請詢問東征十字軍大師為了接下來的調查所需要的是什麼。	크루세이더 마스터에게 다음 조사를 위해 필요한 건 무엇인지 물어보세요.				
QUEST_LV_0500_20200902_000271	在白魔女森林(傳說)進行調查。	하얀 마녀의 숲(레전드)에서 조사를 진행하기.	QUEST_LV_0500_20200723_000202	在白魔女森林裡進行調查。	하얀 마녀의 숲에서 조사를 진행하기.	
QUEST_LV_0500_20200902_000272	東征十字軍大師說為了確定格萊伊希歐的幕後凶手是魔族，因此需要有更確切的證據。{nl}請回到白魔女森林去查看破掉的袋子。	크루세이더 마스터는 글레이시어의 배후에 있는 마족의 존재를 특정하기 위해서는 더 확실한 증거가 필요하다고 합니다.{nl}하얀 마녀의 숲으로 돌아가 해진 주머니를 살펴보세요.				
QUEST_LV_0500_20200902_000273	請給東征十字軍大師看在破掉的袋子中發現的可疑的指令書。	크루세이더 마스터에게 해진 주머니에서 발견한 의문의 지령서를 보여주세요.				
QUEST_LV_0500_20200902_000274	請詢問東征十字軍大師是否還有需要幫助的事情。	크루세이더 마스터에게 더 도와줄 일은 없는 지 물어보세요.				
QUEST_LV_0500_20200902_000275	尋訪冉達大師。	랑다 마스터를 찾아가기.				
QUEST_LV_0500_20200902_000276	東征十字軍大師對協助調查表示感謝，最後為了對可疑的碎片進行確實的調查，拜託我們去找冉達大師。{nl}請前往莎勒斯修女院尋找冉達大師，詢問有關可疑的碎片。	크루세이더 마스터는 조사에 협력해주어서 고맙다는 말을 전하며, 마지막으로 수상한 조각에 대해서 확실한 조사를 하기 위해 랑다 마스터를 찾아가 달라고했습니다.{nl}살러스 수녀원에 있는 랑다 마스터를 찾아가 수상한 조각에 대해 물어보세요.				
QUEST_LV_0500_20200902_000277	與冉達大師對話。	랑다 마스터와 대화하기.				
QUEST_LV_0500_20200902_000278	請向冉達大師打聽有關可疑的碎片。	랑다 마스터에게 수상한 조각에 대해서 의견을 들으세요.				
QUEST_LV_0500_20200902_000279	將可疑的碎片轉交給冉達少女。	수상한 조각을 랑다 소녀에게 전해주기.				
QUEST_LV_0500_20200902_000280	從冉達大師那裡聽到了可疑的碎片的相關說明。{nl}由於是很危險的物品，因此必須將碎片交給更善於駕馭魔族力量的冉達。{nl}請將碎片轉交給冉達少女。	랑다 마스터에게 수상한 조각에 대한 설명을 들었습니다.{nl}위험한 물건이니 마족의 힘을 다루는 데 더 능숙한 랑다에게 조각을 맡겨야 합니다.{nl}조각을 랑다 소녀에게 전해주세요.				
QUEST_LV_0500_20210119_000281	雖然消除了伊薩巫古迪森林的所有莫提尼斯，但一定還殘存有注視者收集的莫提尼斯。{nl}另外巴烏巴斯和巴以卡也仍是覬覦著莫提尼斯的狀態。	비록 이사우고티 숲의 머티니스는 모두 제거했지만, 주시자가 모은 머티니스가 남아 있을 겁니다.{nl}그리고 바우바스와 바이가 역시 여전히 머티니스를 노리고 있는 상황입니다.				여신 라다
QUEST_LV_0500_20210119_000282	歐勒夏一帶的莫提尼斯並非完全消除，{nl}因此魔族們一定會再回來的。	오르샤 일대의 머티니스가 완전히 소멸한 건 아니니,{nl}마족들은 반드시 돌아올 겁니다.				여신 라다
QUEST_LV_0500_20210119_000283	因此啟示者啊！{nl}這危急的安寧在不久的將來會再次來到歐勒夏的。	그러니 계시자.{nl}이 위태로운 평화는 머지않은 미래에 다시 오르샤를 덮칠 것입니다.				여신 라다
QUEST_LV_0500_20210119_000284	為應對那威脅請做好萬全的準備。{nl}請將你所背負的命運作為教訓當做經驗。	그 위협에 대비해 만반의 준비를 하세요.{nl}그대가 짊어진 운명을 교훈 삼아.				여신 라다
QUEST_LV_0500_20210119_000285	在前面的那座森林叫做伊薩巫古迪森林。	앞에 있던 숲의 이름은 이사우고티 숲이라고 합니다.				여신 라다
QUEST_LV_0500_20210119_000286	在伊薩巫古迪森林裡能感受到比森林任何一處都還更強烈的莫提尼斯氣息。	이사우고티 숲에서는 숲의 어느 부분보다 강렬한 머티니스의 기운이 느껴집니다.				여신 라다
QUEST_LV_0500_20210119_000287	那裡一定有注視者的魔族們採集的莫提尼斯。{nl}那裡一定被許多魔族掌握了。	분명히 그곳에 주시자의 마족들이 채굴한 머티니스가 있을 겁니다.{nl}분명히 많은 마족들이 그 곳을 장악하고 있겠죠.				여신 라다
QUEST_LV_0500_20210119_000288	注視者通常都是採取有計畫的行動的。{nl}他們對莫提尼斯的保存也一定有做好應對之策。	주시자는 항상 계획적으로 움직였습니다.{nl}분명 머티니스의 보관에도 대비책을 마련해놨겠죠.				여신 라다
QUEST_LV_0500_20210119_000289	如有勇無謀地前往伊薩巫古迪森林必定會遭受不測。	생각 없이 이사우고티 숲으로 향했다간 큰 위험을 감수해야 할 겁니다.				여신 라다
QUEST_LV_0500_20210119_000290	注視者的魔族們一定已儲藏許多莫提尼斯了，{nl}光靠你一人的力量看來是很難一次清除..	주시자의 마족들은 이미 많은 머티니스를 저장해두었을 겁니다.{nl}당신의 힘만으로는 한 번에 제거하기는 버거운 일..				여신 라다
QUEST_LV_0500_20210119_000291	我擔心透過我的力量來清除莫提尼斯可能會與在莫提尼斯內我的力量產生衝突。{nl}除此，魔族剛才也察覺到我的氣息了。	제 힘으로 머티니스를 제거하는 건 머티니스에 내재된 제 힘과의 충돌이 우려됩니다.{nl}게다가 마족들이 저의 기운을 금방 알아차릴 겁니다.				여신 라다
QUEST_LV_0500_20210119_000292	為了最快速、最大量消除莫提尼斯，我認為擁有巨大威力的人類的炸彈是最適合的。	머티니스를 최대한 빨리, 최대한 많이 제거하기 위해서는 충분한 위력을 지닌 인간의 폭탄이 적당하겠군요.				여신 라다
QUEST_LV_0500_20210119_000293	你可以幫我找來炸彈嗎？	혹시 폭탄을 구하실 수 있겠습니까?				여신 라다
QUEST_LV_0500_20210119_000294	歐勒夏領主說如有需要可以向他請求協助嗎？{nl}那真是太好了。{nl}希望在歐勒夏有適合的炸彈。	오르샤의 영주가 필요한 일이 있으면 도움을 요청하라고 했다고요?{nl}마침 다행입니다.{nl}오르샤에 적당한 폭탄이 있기만 바라죠.				여신 라다
QUEST_LV_0500_20210119_000295	[歐勒夏領主]伊內沙黑蒙戴伊	[오르샤 영주]이네사 해먼데일				
QUEST_LV_0500_20210119_000296	你說他需要歐勒夏的協助嗎？{nl}既然當初是我開口說可以的，那只要我能做到的我一定會全力幫助的。	오르샤의 도움이 필요하시다고요?{nl}제가 도움을 청한 입장이니, 힘이 될 수 있다면 무엇이든 드리겠습니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000297	是需要炸彈啊！{nl}如是炸彈的話，那會在歐勒夏的軍備倉庫裡。{nl}我會命令警備兵拿來的。	폭탄이 필요하다는 말씀이시군요.{nl}폭탄이라면, 오르샤 군수 창고에 있을 겁니다.{nl}경비병에게 가져오라 지시하겠습니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000298	希望這有達到啟示者祈求的那般威力..	부디 계시자님께서 바라시는 만큼 충분한 위력이길..				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000299	請你要小心操控。{nl}這可是擁有超強威力的魔法炸彈。	조심히 다루시길 바랍니다.{nl}매우 강한 위력을 가진 마법 폭탄입니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000300	如不小心很有可能會被捲進爆炸當中的，請你務必注意！{nl}你必須要先躲到安全的地方後才能啟動它。	자칫하면 폭발에 휘말릴 수도 있으니, 꼭 주의하셔야 합니다.{nl}반드시 안전한 곳에 몸을 피하신 후에 작동하셔야 합니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000301	務必一切小心啊，啟示者。{nl}感謝你為歐勒夏奮戰。	모쪼록 몸조심하십시오, 계시자님.{nl}오르샤를 위해 싸워주셔서 감사합니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000302	請加快速度。{nl}就算是為了你必須守護的歐勒夏。	서둘러 움직이세요.{nl}당신이 지켜야 할 오르샤를 위해서라도.				여신 라다
QUEST_LV_0500_20210119_000303	你來了啊！{nl}那個炸彈是歐勒夏領主提供的嗎？	오셨습니까?{nl}그 폭탄이 오르샤 영주가 제공한 물건인가요?				여신 라다
QUEST_LV_0500_20210119_000304	這樣啊。{nl}現在既然已找到破壞莫提尼斯的工具了，那剩下的就只有接近它的事了。	그렇군요.{nl}이제 머티니스를 파괴할 수단을 찾았으니, 접근을 하는 일만 남았습니다.				여신 라다
QUEST_LV_0500_20210119_000305	注視者、羅迦娜、巴以卡..{nl}這三個魔族各別為了不同的目的而爭鬥著。	주시자, 라가나, 바이가..{nl}세 마족은 각자 다른 목적으로 싸우고 있습니다.				여신 라다
QUEST_LV_0500_20210119_000306	因此我們就可以利用他們的慾望。{nl}羅迦娜和巴以卡的部分啟示者可以利用一個提案，向他們傳達假情報。	그러니, 우리는 그들의 욕망을 이용하죠.{nl}라가나와 바이가가 계시자님께 한 제안을 역으로 이용해, 그들에게 거짓 정보를 전해야 합니다.				여신 라다
QUEST_LV_0500_20210119_000307	那麼羅迦娜和巴以卡的勢力就會對立，注視者的勢力也不會袖手旁觀的。{nl}我們就可趁戰場混亂時接近莫提尼斯儲藏所了。{nl}雖我會與你一同前往伊薩巫古迪森林，但如我輕率行動被魔族察覺，那一切就都白費了。	그러면 라가나와 바이가의 세력이 대립할테고, 주시자의 세력도 지켜보고만 있지는 않을 겁니다.{nl}전장이 혼란한 틈을 타 머티니스 저장소로 접근하시면 됩니다.{nl}이사우고티 숲까지는 같이 이동하겠지만, 제가 섣불리 움직이면 마족들의 눈을 돌린 게 소용없어질 겁니다.				여신 라다
QUEST_LV_0500_20210119_000308	就如你所知，我們是無法一起採取行動的。	아시다시피, 우리는 같이 움직일 수 없습니다.				여신 라다
QUEST_LV_0500_20210119_000309	我就去歐勒夏附近找找看是否還有其他的莫提尼斯儲藏所吧。	저는 오르샤 근처에 또 다른 머티니스 저장소가 있는지 찾아보겠습니다.				여신 라다
QUEST_LV_0500_20210119_000310	請別忘了！{nl}比起巴以卡和羅迦娜勢力的魔族，找出莫提尼斯的位置更為重要。	잊지마십시오.{nl}바이가와 라가나 세력의 마족들보다 머티니스의 위치를 알아내는 것이 우선입니다.				여신 라다
QUEST_LV_0500_20210119_000311	盡可能別被魔族們發現，請安靜迅速地展開行動。	마족들에게 들키지 않도록, 조용하지만 신속하게 움직여 주십시오.				여신 라다
QUEST_LV_0500_20210119_000312	請小心別被捲入魔族勢力的爭鬥中。	마족들의 세력 다툼에 휘말리지 않도록 조심하십시오.				여신 라다
QUEST_LV_0500_20210119_000313	你有發現看似莫提尼斯儲藏所的地方嗎？	머티니스 저장소로 보이는 곳은 발견하셨나요?				여신 라다
QUEST_LV_0500_20210119_000314	幸好除了這裡之外，在歐勒夏附近並沒有看見其他的莫提尼斯儲藏所。	다행히 이곳을 제외한 오르샤 근처에서 다른 머티니스 저장소는 보이지 않았습니다.				여신 라다
QUEST_LV_0500_20210119_000315	果然..{nl}就如預料中的一樣，魔族們的警戒並不尋常。	역시..{nl}예상대로 마족들이 경계가 심상치 않군요.				여신 라다
QUEST_LV_0500_20210119_000316	依照計畫，去利用羅迦娜和巴以卡勢力的魔族們吧。	계획대로, 라가나와 바이가 세력의 마족들을 이용하도록 하죠.				여신 라다
QUEST_LV_0500_20210119_000317	看來得引誘魔族們到空曠的地方。{nl}如離儲藏所太遠，注視者的魔族們可能不會採取行動。{nl}請去尋找適當的場所。	충분한 공간이 있는 곳에 마족들을 유인하면 좋겠군요.{nl}저장소와 너무 멀다면 주시자의 마족들이 움직이지 않을 수 있습니다.{nl}적당한 장소를 찾아주세요.				여신 라다
QUEST_LV_0500_20210119_000318	找到了嗎？{nl}你說是普羅納斯空地嗎？	찾으셨습니까?{nl}플라나스 공터란 말씀이시군요.				여신 라다
QUEST_LV_0500_20210119_000319	如果是那裡，應該不會有問題。	그곳이라면 계획에 문제는 없을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000320	先去見羅迦娜傳令吧。{nl}我在普拉蒂休憩地感受到擁有羅迦娜氣息的存在。{nl}在那裡一定有羅迦娜傳令的。{nl}請去將假情報告訴傳令吧。	먼저 라가나의 전령을 만나죠.{nl}라가나의 기운을 지닌 존재가 프레이티 쉼터에서 느껴집니다.{nl}그 곳에 라가나가 말했던 그녀의 전령이 있을 겁니다.{nl}전령에게 거짓 정보를 넘겨주세요.				여신 라다
QUEST_LV_0500_20210119_000321	假情報的內容是說在普羅納斯空地有注視者的魔族們所採集的莫提尼斯儲藏所。	거짓 정보의 내용은 플라나스 공터에 주시자의 마족들이 채굴한 머티니스 저장소가 있다고 전하면 될 겁니다.				여신 라다
QUEST_LV_0500_20210119_000322	另外也請去對在梅薩拉斯野營地的巴以卡傳令傳達相同的內容。	그리고 메살라스 야영지에 있을 바이가의 전령에게도 같은 내용을 전해주세요.				여신 라다
QUEST_LV_0500_20210119_000323	羅迦娜傳令	라가나의 전령				
QUEST_LV_0500_20210119_000324	嗯..{nl}看來是真的。	흠..{nl}보아하니 사실인 것 같군.				라가나의 전령
QUEST_LV_0500_20210119_000325	這情報我會轉達給羅迦娜的。{nl}羅迦娜對忠誠的人是無限慈悲的，{nl}你也一定會受到羅迦娜的恩寵的。	이 정보는 라가나님께 전달하겠다.{nl}라가나님은 충성을 바치는 자에게 한없이 자비로운 분이지.{nl}네 녀석도 분명히 라가나님의 은총을 받을 수 있을 거다.				라가나의 전령
QUEST_LV_0500_20210119_000326	這是非常賢明的選擇。	현명한 선택이군.				라가나의 전령
QUEST_LV_0500_20210119_000327	如對羅迦娜和巴以卡傳令傳達假情報並在普羅納斯空地引起爭鬥的話，{nl}一定能轉移莫提尼斯儲藏所魔族們的注意。{nl}請加快動作吧。	라가나와 바이가의 전령들에게 거짓 정보를 주고 플라나스 공터에서 싸움을 일으키면,{nl}분명 머티니스 저장소에 있는 마족들의 시선을 돌릴 수 있을 겁니다.{nl}서둘러 주십시오.				여신 라다
QUEST_LV_0500_20210119_000328	嗯嗯..{nl}嗯..	흐음..{nl}음..				바이가의 전령
QUEST_LV_0500_20210119_000329	好！{nl}我會向巴以卡傳達你說的情報的。{nl}但你最好不要太高傲人。	좋아요.{nl}바이가님께 당신의 말을 전하도록 하겠습니다.{nl}하지만, 기고만장하지 않는 것이 좋을 겁니다.				바이가의 전령
QUEST_LV_0500_20210119_000330	巴以卡並不喜歡傲慢的人..	바이가님은 건방진 인간을 좋아하지 않으시니..				바이가의 전령
QUEST_LV_0500_20210119_000331	辛苦了。{nl}現在我們就等這假情報在魔族之間產生效果吧。	고생하셨습니다.{nl}이제 거짓 정보에 대한 마족들의 반응을 기다리는 것만 남았군요.				여신 라다
QUEST_LV_0500_20210119_000332	只要在開始產生反應魔族被引開時接近莫提尼斯儲藏所就行了。{nl}準備好了就請出發吧。	반응을 보인 마족들이 시선을 끄는 사이에 머티니스 저장소에 접근하시면 될 겁니다.{nl}준비가 되면 출발하세요.				여신 라다
QUEST_LV_0500_20210119_000333	當炸彈爆炸時，魔族們就算在混亂中也會來找你的。{nl}如不小心，魔族們可能也會成為攻擊歐勒夏的原因。	폭탄이 터지면, 마족들은 혼란 속에서도 당신을 찾을 겁니다.{nl}자칫하면 마족들이 오르샤를 공격하는 원인이 될 수도 있을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000334	魔族為了前往歐勒夏必會經過這裡，{nl}正好我需要回收魔族身上的莫提尼斯..	마족들이 오르샤로 향하기 위해서는 이곳을 지나야 할 터,{nl}마침 저는 마족들이 지니고 있을 머티니스를 회수해야 하니..				여신 라다
QUEST_LV_0500_20210119_000335	我有必須要處理那些前往歐勒夏的魔族的理由。	오르샤로 향하는 마족들을 제가 처리할 이유가 있군요.				여신 라다
QUEST_LV_0500_20210119_000336	為了你的任務！開始行動吧。	당신의 임무를 위해 움직이세요.				여신 라다
QUEST_LV_0500_20210119_000337	羅迦娜和巴以卡全都是自負心強的魔族，{nl}要是他們知道被你欺騙了一定不會放過啟示者的。{nl}請你不要輕易與他們對抗。{nl}將來一定會有機會的。	라가나와 바이가 모두 자긍심 높은 마족입니다.{nl}당신이 자신을 속였다는 것을 알면 계시자님을 내버려두지 않을 겁니다.{nl}그들과 함부로 싸우려 하지는 마세요.{nl}나중에 분명한 기회가 있을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000338	魔神羅迦娜	마신 라가				
QUEST_LV_0500_20210119_000339	我正在等你。{nl}拉伊瑪的孩子啊。	기다리고 있었단다.{nl}라이마의 아이여.				마신 라가
QUEST_LV_0500_20210119_000340	很優秀嘛！{nl}說是脆弱的人類，我還在想能做到什麼程度..	훌륭한 걸?{nl}부러지기 쉬운 인간이 해봤자 얼마나 할 수 있겠나 싶었는데..				마신 라가나
QUEST_LV_0500_20210119_000341	你不是很痛快的毀了注視者的莫提尼斯嗎？{nl}了不起。	주시자의 머티니스를 아주 시원하게 날려버렸잖아?{nl}기특해.				마신 라가나
QUEST_LV_0500_20210119_000342	雖然欺騙我這件事是不被原諒的..{nl}但既然你毀了注視者收集的莫提尼斯，那這次就特別饒你一命吧。	나를 속이려 든 건 용서할 수 없는 일이지만..{nl}주시자가 모은 머티니스를 날려버렸으니 특별히 이번은 넘어가도록 하마.				마신 라가나
QUEST_LV_0500_20210119_000343	不管怎麼樣，注視者絕不會放過你的..{nl}如想活命，你最好繼續往下逃亡。{nl}快，{nl}沒我的允許，你不可以死在注視者的手上。	그건 그렇고, 주시자가 널 가만두지 않으려 할 테니..{nl}살고 싶다면 아래쪽으로 계속 도망치는 게 좋을 거야.{nl}어서,{nl}내 허락 없이 주시자 따위에게 죽지 말거라.				마신 라가나
QUEST_LV_0500_20210119_000344	終於找到了，{nl}啟示者。	드디어 찾았군.{nl}계시자.				마왕 바이가
QUEST_LV_0500_20210119_000345	你準備好交出性命了嗎？{nl}你必須為欺瞞我而付出代價。	목숨을 내놓을 준비는 되어있겠지?{nl}나를 기만한 대가는 톡톡히 치러야 할 것이다.				마왕 바이가
QUEST_LV_0500_20210119_000346	回來了啊。{nl}我清楚地聽到炸彈爆炸的聲音了。	돌아오셨군요.{nl}폭탄이 터지는 소리는 분명히 들었습니다.				여신 라다
QUEST_LV_0500_20210119_000347	你說見過巴烏巴斯？	바우바스를 만났다고요?				여신 라다
QUEST_LV_0500_20210119_000348	魔神巴烏巴斯..	마신 바우바스..				여신 라다
QUEST_LV_0500_20210119_000349	在吉特涅消失的現在，他是魔神中最強大的存在。{nl}巴烏巴斯拯救了巴以卡，看來他們倆的合作關係應該相當密切。	길티네가 사라진 지금, 마신들 중에서 가장 강한 존재입니다.{nl}바우바스가 바이가를 구했다는 건, 생각보다 둘의 협력 관계가 원만한 수준인 거군요.				여신 라다
QUEST_LV_0500_20210119_000350	雖這不是什麼好消息，但如不是巴烏巴斯，我們會受到注視者更嚴重的禍害中的..{nl}這可是不幸中的大幸啊。	반가운 소식은 아니지만, 바우바스가 아니었다면 주시자에게 큰 화를 입을 뻔했으니..{nl}불행 중 다행이겠군요.				여신 라다
QUEST_LV_0500_20210119_000351	總之，現在你的任務結束了。{nl}請回到歐勒夏去見領主吧。{nl}羅迦娜、巴以卡、注視者勢力的魔族們已明顯被削弱氣勢了。	아무튼 지금은 당신의 임무를 끝낼 때이군요.{nl}오르샤로 가서 영주를 만나세요.{nl}라가나와 바이가, 주시자 세력의 마족들은 확실히 기세가 한풀 꺾였습니다.				여신 라다
QUEST_LV_0500_20210119_000352	雖情況還未完全告一段落，{nl}但他一定正在等待這個消息的。	아직 상황이 완전히 종식된 건 아니지만,{nl}분명 이 소식을 기다리고 있을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000353	回來了啊。{nl}聽到那巨大的爆炸聲，我就察覺到是啟示者了。	돌아오셨습니까.{nl}큰 폭팔음이 들려서 계시자님일 거라 짐작했습니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000354	你看起來平安無事，那真是太好了。	무사하신 것 같아 다행입니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000355	這樣啊。{nl}歐勒夏又再次受到了啟示者的幫助了。	그렇군요.{nl}오르샤는 이렇게 또 한 번 계시자님의 도움을 받게되었군요.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000356	我代表歐勒夏和奇雷恩地方向你表示感謝。{nl}至少替我們歐勒夏爭取了準備下次戰鬥的時間。	오르샤와 키렌 지방을 대표하여 감사드립니다.{nl}적어도 우리 오르샤는 다음 전투를 준비할 시간을 벌었습니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000357	雖不少人受傷倒下了，但我們不會就這樣潰滅的。{nl}只要我們救出尚未避難的人們後，{nl}就是我們採取反擊的時候了。	많은 이들이 다치고 쓰러졌지만, 이대로 우리는 당하고만 있지는 않을 겁니다.{nl}아직 피난하지 못한 사람들을 구하고 나면{nl}반격의 시간이 오겠지요.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000358	我要再次感謝啟示者。	계시자님께 다시 한 번 감사의 말씀을 드리겠습니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000359	魔族們暫時不會直接攻擊歐勒夏了。	당분간은 마족들이 오르샤를 직접 공격하는 일은 없을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000360	但這短暫的和平是不會維持太久的，啟示者我想你應該很清楚。	하지만 이 위태로운 평화가 오래가지 못할 것은 계시자, 그대도 잘 알고 있겠지요.				여신 라다
QUEST_LV_0500_20210119_000361	你忠實地守護了歐勒夏，{nl}而我也充分地負起了責任。	당신은 오르샤를 지키는 임무에 충실히 임했고,{nl}저 또한 충분할 만큼 책임을 질 수 있었습니다.				여신 라다
QUEST_LV_0500_20210119_000362	消失吧！	꺼져라!				마신 길티네
